sample,super_pop,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
HG01556,AMR,-17.357204,-35.846416,-68.325745,56.576294,3.6348023,2.4203398,-12.859112,2.6714673,-4.779456,6.192986,-5.3651934,-0.47257796
HG01565,AMR,-118.82074,8.635492,-129.6189,153.94292,7.0040307,-0.7596911,2.1812558,-0.14186275,2.110526,1.2877854,5.369292,-1.4209647
HG01566,AMR,-108.73765,-41.511337,-97.86401,86.95592,4.301091,-0.8664934,-8.816965,-0.81320155,-7.7423797,-3.8716908,-3.2563822,0.48373654
HG01571,AMR,-121.06959,0.5552556,-126.95953,146.02322,2.238717,-0.7387159,3.043954,0.20915976,1.7842966,-6.9873924,4.974297,-4.3148685
HG01572,AMR,-133.51503,59.54292,-170.06476,236.12996,7.5528545,0.19727771,20.625797,-1.9802265,2.8773117,-2.345086,12.408206,-8.240175
HG01577,AMR,-86.67721,-41.07513,-90.81296,82.347374,9.564679,-1.9521111,-7.972394,0.5809338,5.818348,-1.7622516,-2.528227,-0.30487648
HG01578,AMR,-114.615105,-12.075534,-118.64809,130.24536,6.907309,0.66373163,-2.0684733,-2.866297,-3.8952167,3.0763772,2.3102536,2.3954165
HG01583,SAS,-97.03154,-61.15514,83.44361,30.104155,1.2230743,-2.22081,0.92442465,-0.5734616,-1.0538114,0.45169944,7.5610523,-4.1148663
HG01586,SAS,-97.77424,-59.143,79.31586,25.05576,-1.2574208,0.0030815813,1.756488,1.7901907,0.8918637,3.12176,6.272113,-2.7294147
HG01589,SAS,-95.72965,-63.666336,77.622116,27.053307,0.40359098,-1.042397,2.13737,-0.9504222,12.319991,-1.4431077,10.19992,-14.733558
HG01593,SAS,-95.571175,-73.47683,75.546585,20.98719,-3.0168962,0.5131511,-3.0521548,1.9334415,9.409161,2.8664417,12.560594,-11.922094
HG01595,EAS,-133.68791,187.21657,-8.965786,-41.873257,39.507362,0.194587,5.8934894,0.0097223185,-0.16478862,0.9839758,-2.5676005,-2.0457695
HG01596,EAS,-131.67833,178.62863,-2.2838929,-37.78617,42.64148,-2.7419133,12.434239,-1.6990092,3.7151039,-1.0490677,-9.5796385,-2.067349
HG01597,EAS,-131.59659,185.54797,-4.484169,-41.600357,46.224556,0.77034783,6.978474,-2.1557426,0.73444515,2.9153173,-11.029531,-3.4362261
